userId,Forrest Gump (1994),Pulp Fiction (1994),"Shawshank Redemption, The (1994)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Silence of the Lambs, The (1991)","Matrix, The (1999)",Batman (1989),"Usual Suspects, The (1995)","Fugitive, The (1993)",Star Wars: Episode V - The Empire Strikes Back (1980),Aladdin (1992),Independence Day (a.k.a. ID4) (1996),Schindler's List (1993),Star Wars: Episode IV - A New Hope (1977),Gladiator (2000),Braveheart (1995),Seven (a.k.a. Se7en) (1995),Apollo 13 (1995),Terminator 2: Judgment Day (1991),"Lord of the Rings: The Two Towers, The (2002)"
1,4.0,3.0,0.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,0.0,3.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0
2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,1.0,0.0,3.0,5.0,1.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0
5,0.0,5.0,3.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,4.0,0.0,5.0,0.0,0.0,4.0,0.0,3.0,3.0,0.0
6,5.0,2.0,5.0,0.0,4.0,0.0,3.0,1.0,5.0,0.0,5.0,5.0,3.0,0.0,0.0,5.0,4.0,4.0,3.0,0.0
7,5.0,0.0,0.0,0.0,5.0,0.0,3.0,4.5,0.0,4.0,3.0,4.5,0.0,5.0,1.5,0.0,0.0,4.5,2.5,4.5
8,3.0,4.0,5.0,0.0,4.0,0.0,3.0,5.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0
9,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
10,3.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
11,5.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,5.0,4.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
