userId,Pulp Fiction (1994),Forrest Gump (1994),"Shawshank Redemption, The (1994)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Silence of the Lambs, The (1991)","Matrix, The (1999)","Usual Suspects, The (1995)",Batman (1989),"Fugitive, The (1993)",Aladdin (1992),Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode V - The Empire Strikes Back (1980),Independence Day (a.k.a. ID4) (1996),Gladiator (2000),Schindler's List (1993),Seven (a.k.a. Se7en) (1995),Braveheart (1995),Terminator 2: Judgment Day (1991),Apollo 13 (1995),"Lord of the Rings: The Fellowship of the Ring, The (2001)"
1,3.0,4.0,0.0,5.0,4.0,5.0,5.0,4.0,5.0,0.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0
2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
4,1.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5,5.0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,3.0,3.0,0.0
6,2.0,5.0,5.0,0.0,4.0,0.0,1.0,3.0,5.0,5.0,0.0,0.0,5.0,0.0,3.0,4.0,5.0,3.0,4.0,0.0
7,0.0,5.0,0.0,0.0,5.0,0.0,4.5,3.0,0.0,3.0,5.0,4.0,4.5,1.5,0.0,0.0,0.0,2.5,4.5,4.5
8,4.0,3.0,5.0,0.0,4.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,0.0,4.0,0.0
9,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
10,1.0,3.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0
